-2380305.5011 -3717962.2303 4326160.3733	-190000 124.838563
-2379285.3949 -3718615.1231 4326160.3733	-190000 126.086949
-2378265.1096 -3719267.7361 4326160.3733	-190000 127.335334
-2377244.5804 -3719920.1106 4326160.3733	-190000 128.583720
-2376223.9371 -3720572.1636 4326160.3733	-190000 129.832106
-2375203.1151 -3721223.9366 4326160.3733	-190000 131.080491
-2374182.1142 -3721875.4295 4326160.3733	-190000 132.328877
-2373160.9346 -3722526.6423 4326160.3733	-190000 133.577263
-2372139.5765 -3723177.5749 4326160.3733	-190000 134.825648
-2371118.0398 -3723828.2272 4326160.3733	-190000 136.074034
-2370096.3246 -3724478.5993 4326160.3733	-190000 137.322419
-2369074.4310 -3725128.6910 4326160.3733	-190000 138.570805
-2368052.3591 -3725778.5024 4326160.3733	-190000 139.819191
-2367030.1090 -3726428.0333 4326160.3733	-190000 141.067576
-2366007.6807 -3727077.2837 4326160.3733	-190000 142.315962
-2364985.0743 -3727726.2537 4326160.3733	-190000 143.564348
-2363962.2900 -3728374.9430 4326160.3733	-190000 144.812733
-2362939.3277 -3729023.3518 4326160.3733	-190000 146.061119
-2361916.1875 -3729671.4798 4326160.3733	-190000 147.309504
-2360892.8045 -3730319.3683 4326160.3733	-190000 148.557890
-2359869.3089 -3730966.9349 4326160.3733	-190000 149.806276
-2358845.6356 -3731614.2206 4326160.3733	-190000 151.054661
-2357821.7848 -3732261.2255 4326160.3733	-190000 152.303047
-2356797.7566 -3732907.9494 4326160.3733	-190000 153.551433
-2355773.5509 -3733554.3924 4326160.3733	-190000 154.799818
-2354749.1679 -3734200.5544 4326160.3733	-190000 156.048204
-2353724.6077 -3734846.4353 4326160.3733	-190000 157.296590
-2352699.8704 -3735492.0351 4326160.3733	-190000 158.544975
-2351674.9560 -3736137.3537 4326160.3733	-190000 159.793361
-2350649.8645 -3736782.3911 4326160.3733	-190000 161.041746
-2349624.5961 -3737427.1473 4326160.3733	-190000 162.290132
-2348599.1509 -3738071.6222 4326160.3733	-190000 163.538518
-2347573.5289 -3738715.8157 4326160.3733	-190000 164.786903
-2346547.7303 -3739359.7278 4326160.3733	-190000 166.035289
-2345521.6897 -3740003.3994 4326160.3733	-190000 167.283675
-2344495.5378 -3740646.7485 4326160.3733	-190000 168.532060
-2343469.2095 -3741289.8161 4326160.3733	-190000 169.780446
-2342442.7048 -3741932.6021 4326160.3733	-190000 171.028831
-2341416.0238 -3742575.1065 4326160.3733	-190000 172.277217
-2340389.1666 -3743217.3291 4326160.3733	-190000 173.525603
-2339362.1332 -3743859.2701 4326160.3733	-190000 174.773988
-2338334.9237 -3744500.9292 4326160.3733	-190000 176.022374
-2337307.5382 -3745142.3065 4326160.3733	-190000 177.270760
-2336279.9768 -3745783.4019 4326160.3733	-190000 178.519145
-2335252.2396 -3746424.2154 4326160.3733	-190000 179.767531
-2334224.3266 -3747064.7469 4326160.3733	-190000 181.015917
-2333196.2379 -3747704.9963 4326160.3733	-190000 182.264302
-2332167.9736 -3748344.9637 4326160.3733	-190000 183.512688
-2331139.5338 -3748984.6490 4326160.3733	-190000 184.761073
-2330110.9185 -3749624.0521 4326160.3733	-190000 186.009459
-2329082.0623 -3750263.2136 4326160.3733	-190000 187.257845
-2328053.0963 -3750902.0522 4326160.3733	-190000 188.506230
-2327023.9551 -3751540.6084 4326160.3733	-190000 189.754616
-2325994.6387 -3752178.8823 4326160.3733	-190000 191.003002
-2324965.1473 -3752816.8738 4326160.3733	-190000 192.251387
-2323935.4809 -3753454.5828 4326160.3733	-190000 193.499773
-2322905.6395 -3754092.0093 4326160.3733	-190000 194.748158
-2321875.6233 -3754729.1532 4326160.3733	-190000 195.996544
-2320845.4324 -3755366.0145 4326160.3733	-190000 197.244930
-2319815.0668 -3756002.5932 4326160.3733	-190000 198.493315
-2318784.5265 -3756638.8892 4326160.3733	-190000 199.741701
-2317753.8118 -3757274.9024 4326160.3733	-190000 200.990087
-2316722.9225 -3757910.6328 4326160.3733	-190000 202.238472
-2315691.8590 -3758546.0804 4326160.3733	-190000 203.486858
-2314660.6211 -3759181.2451 4326160.3733	-190000 204.735244
-2313629.2090 -3759816.1268 4326160.3733	-190000 205.983629
-2312597.5571 -3760450.7659 4326160.3733	-190000 207.232015
-2311565.7968 -3761085.0816 4326160.3733	-190000 208.480400
-2310533.8625 -3761719.1142 4326160.3733	-190000 209.728786
-2309501.7543 -3762352.8637 4326160.3733	-190000 210.977172
-2308469.4723 -3762986.3300 4326160.3733	-190000 212.225557
-2307437.0165 -3763619.5131 4326160.3733	-190000 213.473943
-2306404.3870 -3764252.4129 4326160.3733	-190000 214.722329
-2305371.5840 -3764885.0293 4326160.3733	-190000 215.970714
-2304338.6074 -3765517.3624 4326160.3733	-190000 217.219100
-2303305.4574 -3766149.4121 4326160.3733	-190000 218.467485
-2302272.1340 -3766781.1783 4326160.3733	-190000 219.715871
-2301238.6373 -3767412.6610 4326160.3733	-190000 220.964257
-2300204.9675 -3768043.8601 4326160.3733	-190000 222.212642
-2299171.1245 -3768674.7756 4326160.3733	-190000 223.461028
-2298137.1084 -3769305.4075 4326160.3733	-190000 224.709414
-2297102.8536 -3769935.7958 4326160.3733	-190000 225.957799
-2296068.4917 -3770565.8602 4326160.3733	-190000 227.206185
-2295033.9569 -3771195.6407 4326160.3733	-190000 228.454571
-2293999.2494 -3771825.1375 4326160.3733	-190000 229.702956
-2292964.3693 -3772454.3503 4326160.3733	-190000 230.951342
-2291929.3165 -3773083.2793 4326160.3733	-190000 232.199727
-2290894.0913 -3773711.9242 4326160.3733	-190000 233.448113
-2289858.6936 -3774340.2851 4326160.3733	-190000 234.696499
-2288823.1236 -3774968.3619 4326160.3733	-190000 235.944884
-2287787.3813 -3775596.1545 4326160.3733	-190000 237.193270
-2286751.4668 -3776223.6630 4326160.3733	-190000 238.441656
-2285715.3802 -3776850.8873 4326160.3733	-190000 239.690041
-2284679.1216 -3777477.8273 4326160.3733	-190000 240.938427
-2283642.6910 -3778104.4830 4326160.3733	-190000 242.186812
-2282606.0885 -3778730.8543 4326160.3733	-190000 243.435198
-2281569.3142 -3779356.9412 4326160.3733	-190000 244.683584
-2280532.3022 -3779982.7834 4326160.3733	-190000 245.931969
-2279495.1845 -3780608.3013 4326160.3733	-190000 247.180355
-2278457.8952 -3781233.5347 4326160.3733	-190000 248.428741
-2277420.4345 -3781858.4834 4326160.3733	-190000 249.677126
-2276382.8023 -3782483.1475 4326160.3733	-190000 250.925512
-2275344.9988 -3783107.5269 4326160.3733	-190000 252.173898
-2274307.0241 -3783731.6216 4326160.3733	-190000 253.422283
-2273268.8782 -3784355.4315 4326160.3733	-190000 254.670669
-2272230.5611 -3784978.9565 4326160.3733	-190000 255.919054
-2271192.0731 -3785602.1967 4326160.3733	-190000 257.167440
-2270153.4141 -3786225.1519 4326160.3733	-190000 258.415826
-2269114.5842 -3786847.8221 4326160.3733	-190000 259.664211
-2268075.5835 -3787470.2074 4326160.3733	-190000 260.912597
-2267036.4121 -3788092.3075 4326160.3733	-190000 262.160983
-2265997.0701 -3788714.1225 4326160.3733	-190000 263.409368
-2264957.5576 -3789335.6524 4326160.3733	-190000 264.657754
-2263917.8084 -3789956.9366 4326160.3733	-190000 265.906139
-2262877.9549 -3790577.8960 4326160.3733	-190000 267.154525
-2261837.9312 -3791198.5700 4326160.3733	-190000 268.402911
-2260797.7372 -3791818.9587 4326160.3733	-190000 269.651296
-2259757.3730 -3792439.0621 4326160.3733	-190000 270.899682
-2258716.8387 -3793058.8799 4326160.3733	-190000 272.148068
